UF;Sexo;Idade;Cor;Anos de Estudo;Renda;Altura
Rondônia;Homem;37;Parda;1;788;1.754062252
Rondônia;Homem;24;Branca;11;2000;1.701151149
Rondônia;Mulher;34;Branca;12;789;1.778533399
Rondônia;Homem;25;Parda;14;1500;1.686974776
Rondônia;Mulher;40;Branca;14;2800;1.723082263
Rondônia;Homem;63;Parda;9;3000;1.664390525
Rondônia;Homem;36;Parda;12;1200;1.778775969
Rondônia;Mulher;32;Parda;13;2000;1.604770597
Rondônia;Homem;50;Branca;9;1000;1.748451233
Rondônia;Homem;47;Parda;7;2500;1.738575623
Rondônia;Mulher;45;Parda;16;1150;1.743459633
Rondônia;Homem;36;Branca;5;2000;1.711175816
Rondônia;Homem;46;Branca;9;5000;1.793000554
Rondônia;Homem;47;Branca;12;3000;1.789784135
Rondônia;Homem;56;Branca;16;8000;1.709297771
Rondônia;Homem;46;Parda;6;1200;1.673878003
Rondônia;Homem;47;Parda;12;2500;1.689472643
Rondônia;Homem;52;Parda;9;10000;1.728276901
Rondônia;Mulher;23;Parda;7;788;1.711909504
Rondônia;Homem;38;Preta;12;2400;1.779836869
Rondônia;Homem;52;Branca;9;3000;1.639235512
Rondônia;Homem;29;Parda;16;1900;1.802592345
Rondônia;Homem;40;Parda;16;7500;1.736740461
Rondônia;Homem;58;Parda;12;3310;1.724049175
Rondônia;Homem;28;Parda;5;900;1.584638218
Rondônia;Homem;52;Parda;1;800;1.732961146
Rondônia;Homem;38;Parda;6;3500;1.6859077
Rondônia;Homem;22;Parda;12;1000;1.684574172
Rondônia;Homem;49;Branca;5;8500;1.711913319
Rondônia;Mulher;59;Parda;5;250;1.580498823
Rondônia;Homem;42;Branca;2;950;1.727489959
Rondônia;Homem;40;Parda;4;1300;1.830929004
Rondônia;Homem;20;Parda;9;1500;1.661791496
Rondônia;Mulher;58;Parda;16;2000;1.777485465
Rondônia;Homem;51;Parda;12;7000;1.65469875
Rondônia;Homem;62;Parda;12;6000;1.774268264
Rondônia;Homem;36;Branca;12;3400;1.741173403
Rondônia;Mulher;46;Branca;12;788;1.653608061
Rondônia;Homem;54;Parda;12;1200;1.743742384
Rondônia;Mulher;51;Parda;12;780;1.727718085
Rondônia;Homem;37;Branca;12;788;1.733625776
Rondônia;Homem;22;Parda;11;2000;1.745545114
Rondônia;Homem;21;Parda;7;1400;1.671334076
Rondônia;Homem;47;Parda;16;1800;1.574972387
Rondônia;Mulher;38;Parda;6;900;1.684613226
Rondônia;Homem;69;Branca;1;1182;1.683305087
Rondônia;Homem;68;Parda;1;600;1.733743937
Rondônia;Homem;57;Parda;16;4200;1.724617047
Rondônia;Mulher;36;Preta;12;788;1.630642529
Rondônia;Mulher;47;Parda;13;150;1.49652401
Rondônia;Homem;59;Branca;13;4000;1.819988588
Rondônia;Homem;53;Parda;16;7000;1.788792734
Rondônia;Mulher;46;Branca;16;1700;1.63075336
Rondônia;Mulher;59;Branca;9;80;1.840218073
Rondônia;Homem;44;Parda;12;800;1.637466793
Rondônia;Homem;29;Parda;12;1000;1.847668727
Rondônia;Mulher;50;Parda;6;2000;1.740231338
Rondônia;Mulher;54;Preta;5;788;1.582048118
Rondônia;Mulher;47;Parda;5;870;1.633458627
Rondônia;Homem;33;Parda;7;1200;1.661903251
Rondônia;Homem;63;Parda;1;200;1.74140719
Rondônia;Mulher;37;Parda;11;1100;1.796194806
Rondônia;Homem;61;Preta;5;1000;1.817428265
Rondônia;Homem;42;Branca;9;2000;1.669562863
Rondônia;Mulher;34;Parda;10;200;1.697745534
Rondônia;Homem;37;Preta;16;4300;1.758374665
Rondônia;Homem;39;Branca;12;2000;1.574776992
Rondônia;Homem;36;Parda;4;1200;1.674280747
Rondônia;Homem;56;Parda;2;1070;1.628137374
Rondônia;Homem;59;Branca;6;1000;1.831915196
Rondônia;Homem;46;Branca;9;800;1.783098992
Rondônia;Homem;48;Branca;16;5000;1.749381315
Rondônia;Homem;59;Parda;1;350;1.693126416
Rondônia;Homem;20;Parda;8;500;1.722843495
Rondônia;Homem;41;Parda;10;500;1.691885531
Rondônia;Homem;61;Branca;1;1100;1.846371672
Rondônia;Homem;27;Branca;12;1200;1.70121296
Rondônia;Mulher;50;Parda;4;788;1.652795699
Rondônia;Homem;74;Branca;3;1000;1.576525886
Rondônia;Mulher;59;Parda;9;400;1.48963102
Rondônia;Homem;36;Parda;4;788;1.759130275
Rondônia;Homem;57;Preta;5;150;1.54189054
Rondônia;Homem;34;Branca;9;3000;1.661599897
Rondônia;Homem;40;Parda;12;1300;1.767950664
Rondônia;Homem;52;Parda;5;200;1.752975967
Rondônia;Homem;29;Parda;11;788;1.794573155
Rondônia;Mulher;59;Preta;2;250;1.664267692
Rondônia;Homem;43;Parda;12;1000;1.71799009
Rondônia;Homem;43;Parda;6;788;1.686677201
Rondônia;Mulher;39;Parda;9;788;1.662565011
Rondônia;Homem;38;Branca;12;2000;1.803529273
Rondônia;Mulher;27;Preta;1;600;1.632839736
Rondônia;Homem;36;Branca;12;600;1.608022778
Rondônia;Homem;56;Parda;8;4500;1.757959655
Rondônia;Homem;34;Preta;12;1000;1.797798255
Rondônia;Homem;61;Parda;3;788;1.802870341
Rondônia;Homem;32;Branca;9;1400;1.822337228
Rondônia;Mulher;53;Branca;6;500;1.794157648
Rondônia;Homem;59;Preta;12;0;1.71723851
Rondônia;Homem;57;Parda;8;350;1.797763391
Rondônia;Homem;38;Parda;12;920;1.740909945
Rondônia;Mulher;35;Branca;16;2400;1.60081945
Rondônia;Mulher;40;Branca;6;800;1.774058089
Rondônia;Homem;34;Parda;5;4800;1.756893984
Rondônia;Homem;31;Parda;12;3000;1.650361065
Rondônia;Homem;34;Branca;9;1200;1.739312464
Rondônia;Homem;34;Parda;11;1500;1.516083715
Rondônia;Homem;22;Branca;8;2500;1.595411434
Rondônia;Homem;64;Branca;12;1500;1.765973824
Rondônia;Homem;53;Branca;16;1500;1.725466892
Rondônia;Homem;36;Branca;12;1500;1.801506807
Rondônia;Homem;29;Branca;9;1000;1.544522834
Rondônia;Homem;49;Branca;2;2000;1.7441112
Rondônia;Homem;35;Parda;9;1300;1.757073127
Rondônia;Homem;21;Parda;12;1200;1.628301491
Rondônia;Mulher;30;Parda;5;1400;1.643452224
Rondônia;Homem;52;Parda;5;1000;1.824898197
Rondônia;Homem;37;Branca;5;1500;1.735052943
Rondônia;Mulher;57;Parda;10;1000;1.742390154
Rondônia;Homem;31;Parda;15;2500;1.659751587
Rondônia;Homem;58;Parda;5;200;1.700024429
Rondônia;Homem;34;Parda;7;1270;1.654674812
Rondônia;Homem;49;Parda;4;788;1.638713738
Rondônia;Mulher;31;Branca;13;1200;1.802602651
Rondônia;Mulher;38;Parda;9;1500;1.723881965
Rondônia;Homem;27;Parda;11;45000;1.711432277
Rondônia;Homem;38;Parda;12;1200;1.470500966
Rondônia;Homem;48;Parda;9;1100;1.659497716
Rondônia;Homem;44;Parda;9;150;1.660081705
Rondônia;Homem;54;Branca;4;500;1.708818446
